id,node_id,status,assigned_to,lat,long,x,y
1,,9,1,45.081685333,-84.774548812,,
2,,9,1,45.081685376,-84.774544238,,
3,,9,1,45.081685419,-84.774539665,,
4,,9,1,45.081685462,-84.774535091,,
5,,9,1,45.081685505,-84.774530518,,
6,,9,1,45.081685548,-84.774525944,,
7,,1,1,45.081685591,-84.774521371,,
8,,1,1,45.081685634,-84.774516797,,
9,,1,1,45.081685677,-84.774512224,,
10,,1,1,45.081685719,-84.77450765,,
11,,1,1,45.081685762,-84.774503077,,
12,,1,1,45.081685805,-84.774498503,,
13,,1,1,45.081685848,-84.77449393,,
14,,1,1,45.081685891,-84.774489356,,
15,,1,1,45.081685934,-84.774484783,,
16,,1,1,45.081685977,-84.774480209,,
17,,1,1,45.08168602,-84.774475636,,
18,,1,1,45.081686063,-84.774471062,,
19,,1,1,45.081686106,-84.774466489,,
20,,1,1,45.081686149,-84.774461915,,
21,,1,1,45.081686192,-84.774457342,,
22,,1,1,45.081686235,-84.774452768,,
23,,1,1,45.081686278,-84.774448195,,
24,,1,1,45.081686321,-84.774443621,,
25,,1,1,45.081686364,-84.774439048,,
26,,1,1,45.081686407,-84.774434474,,
27,,1,1,45.08168645,-84.774429901,,
28,,1,1,45.081686492,-84.774425327,,
29,,1,1,45.081686535,-84.774420754,,
30,,1,1,45.081686578,-84.77441618,,
31,,1,1,45.081686621,-84.774411607,,
32,,1,1,45.081686664,-84.774407033,,
33,,1,1,45.081686707,-84.77440246,,
34,,1,1,45.08168675,-84.774397886,,
35,,1,1,45.081686793,-84.774393313,,
36,,1,1,45.081686836,-84.774388739,,
37,,1,1,45.081686879,-84.774384166,,
38,,1,1,45.081686922,-84.774379592,,
39,,1,1,45.081686965,-84.774375019,,
40,,1,1,45.081687008,-84.774370445,,
41,,1,1,45.081687051,-84.774365872,,
42,,1,1,45.081687094,-84.774361298,,
43,,1,1,45.081687137,-84.774356725,,
44,,1,1,45.08168718,-84.774352151,,
45,,1,1,45.081687223,-84.774347578,,
46,,1,1,45.081687265,-84.774343004,,
47,,1,1,45.081687308,-84.774338431,,
48,,1,1,45.081687351,-84.774333857,,
49,,1,1,45.081687394,-84.774329284,,
50,,1,1,45.081687437,-84.77432471,,
51,,1,1,45.081669762,-84.774548216,,
52,,1,1,45.081669813,-84.774543618,,
53,,1,1,45.081669865,-84.77453902,,
54,,1,1,45.081669916,-84.774534422,,
55,,1,1,45.081669968,-84.774529825,,
56,,1,1,45.081670019,-84.774525227,,
57,,1,1,45.081670071,-84.774520629,,
58,,1,1,45.081670122,-84.774516031,,
59,,1,1,45.081670174,-84.774511433,,
60,,1,1,45.081670226,-84.774506835,,
61,,1,1,45.081670277,-84.774502238,,
62,,1,1,45.081670329,-84.77449764,,
63,,1,1,45.08167038,-84.774493042,,
64,,1,1,45.081670432,-84.774488444,,
65,,1,1,45.081670483,-84.774483846,,
66,,1,1,45.081670535,-84.774479248,,
67,,1,1,45.081670586,-84.774474651,,
68,,1,1,45.081670638,-84.774470053,,
69,,1,1,45.081670689,-84.774465455,,
70,,1,1,45.081670741,-84.774460857,,
71,,1,1,45.081670792,-84.774456259,,
72,,1,1,45.081670844,-84.774451661,,
73,,1,1,45.081670895,-84.774447064,,
74,,1,1,45.081670947,-84.774442466,,
75,,1,1,45.081670998,-84.774437868,,
76,,1,1,45.08167105,-84.77443327,,
77,,1,1,45.081671102,-84.774428672,,
78,,1,1,45.081671153,-84.774424074,,
79,,1,1,45.081671205,-84.774419477,,
80,,1,1,45.081671256,-84.774414879,,
81,,1,1,45.081671308,-84.774410281,,
82,,1,1,45.081671359,-84.774405683,,
83,,1,1,45.081671411,-84.774401085,,
84,,1,1,45.081671462,-84.774396487,,
85,,1,1,45.081671514,-84.77439189,,
86,,1,1,45.081671565,-84.774387292,,
87,,1,1,45.081671617,-84.774382694,,
88,,1,1,45.081671668,-84.774378096,,
89,,1,1,45.08167172,-84.774373498,,
90,,1,1,45.081671771,-84.7743689,,
91,,1,1,45.081671823,-84.774364303,,
92,,1,1,45.081671875,-84.774359705,,
93,,1,1,45.081671926,-84.774355107,,
94,,1,1,45.081671978,-84.774350509,,
95,,1,1,45.081672029,-84.774345911,,
96,,1,1,45.081672081,-84.774341313,,
97,,1,1,45.081672132,-84.774336716,,
98,,1,1,45.081672184,-84.774332118,,
99,,1,1,45.081672235,-84.77432752,,
100,,1,1,45.081672287,-84.774322922,,
101,,1,1,45.081655453,-84.77454762,,
102,,1,1,45.081655479,-84.774543046,,
103,,1,1,45.081655505,-84.774538473,,
104,,1,1,45.08165553,-84.774533899,,
105,,1,1,45.081655556,-84.774529326,,
106,,1,1,45.081655582,-84.774524752,,
107,,1,1,45.081655608,-84.774520179,,
108,,1,1,45.081655633,-84.774515605,,
109,,1,1,45.081655659,-84.774511032,,
110,,1,1,45.081655685,-84.774506458,,
111,,1,1,45.081655711,-84.774501885,,
112,,1,1,45.081655736,-84.774497311,,
113,,1,1,45.081655762,-84.774492738,,
114,,1,1,45.081655788,-84.774488164,,
115,,1,1,45.081655814,-84.774483591,,
116,,1,1,45.081655839,-84.774479017,,
117,,1,1,45.081655865,-84.774474444,,
118,,1,1,45.081655891,-84.77446987,,
119,,1,1,45.081655917,-84.774465297,,
120,,1,1,45.081655943,-84.774460723,,
121,,1,1,45.081655968,-84.77445615,,
122,,1,1,45.081655994,-84.774451576,,
123,,1,1,45.08165602,-84.774447003,,
124,,1,1,45.081656046,-84.774442429,,
125,,1,1,45.081656071,-84.774437856,,
126,,1,1,45.081656097,-84.774433282,,
127,,1,1,45.081656123,-84.774428709,,
128,,1,1,45.081656149,-84.774424135,,
129,,1,1,45.081656174,-84.774419562,,
130,,1,1,45.0816562,-84.774414988,,
131,,1,1,45.081656226,-84.774410415,,
132,,1,1,45.081656252,-84.774405841,,
133,,1,1,45.081656277,-84.774401268,,
134,,1,1,45.081656303,-84.774396694,,
135,,1,1,45.081656329,-84.774392121,,
136,,1,1,45.081656355,-84.774387547,,
137,,1,1,45.081656381,-84.774382974,,
138,,1,1,45.081656406,-84.7743784,,
139,,1,1,45.081656432,-84.774373827,,
140,,1,1,45.081656458,-84.774369253,,
141,,1,1,45.081656484,-84.77436468,,
142,,1,1,45.081656509,-84.774360106,,
143,,1,1,45.081656535,-84.774355533,,
144,,1,1,45.081656561,-84.774350959,,
145,,1,1,45.081656587,-84.774346386,,
146,,1,1,45.081656612,-84.774341812,,
147,,1,1,45.081656638,-84.774337239,,
148,,1,1,45.081656664,-84.774332665,,
149,,1,1,45.08165669,-84.774328092,,
150,,1,1,45.081656716,-84.774323518,,
151,,1,1,45.081638619,-84.774547024,,
152,,1,1,45.081638662,-84.774542511,,
153,,1,1,45.081638705,-84.774537999,,
154,,1,1,45.081638748,-84.774533486,,
155,,1,1,45.081638791,-84.774528973,,
156,,1,1,45.081638834,-84.77452446,,
157,,1,1,45.081638877,-84.774519948,,
158,,1,1,45.08163892,-84.774515435,,
159,,1,1,45.081638963,-84.774510922,,
160,,1,1,45.081639006,-84.77450641,,
161,,1,1,45.081639049,-84.774501897,,
162,,1,1,45.081639092,-84.774497384,,
163,,1,1,45.081639134,-84.774492872,,
164,,1,1,45.081639177,-84.774488359,,
165,,1,1,45.08163922,-84.774483846,,
166,,1,1,45.081639263,-84.774479334,,
167,,1,1,45.081639306,-84.774474821,,
168,,1,1,45.081639349,-84.774470308,,
169,,1,1,45.081639392,-84.774465796,,
170,,1,1,45.081639435,-84.774461283,,
171,,1,1,45.081639478,-84.77445677,,
172,,1,1,45.081639521,-84.774452257,,
173,,1,1,45.081639564,-84.774447745,,
174,,1,1,45.081639607,-84.774443232,,
175,,1,1,45.08163965,-84.774438719,,
176,,1,1,45.081639693,-84.774434207,,
177,,1,1,45.081639736,-84.774429694,,
178,,1,1,45.081639779,-84.774425181,,
179,,1,1,45.081639822,-84.774420669,,
180,,1,1,45.081639865,-84.774416156,,
181,,1,1,45.081639907,-84.774411643,,
182,,1,1,45.08163995,-84.774407131,,
183,,1,1,45.081639993,-84.774402618,,
184,,1,1,45.081640036,-84.774398105,,
185,,1,1,45.081640079,-84.774393593,,
186,,1,1,45.081640122,-84.77438908,,
187,,1,1,45.081640165,-84.774384567,,
188,,1,1,45.081640208,-84.774380054,,
189,,1,1,45.081640251,-84.774375542,,
190,,1,1,45.081640294,-84.774371029,,
191,,1,1,45.081640337,-84.774366516,,
192,,1,1,45.08164038,-84.774362004,,
193,,1,1,45.081640423,-84.774357491,,
194,,1,1,45.081640466,-84.774352978,,
195,,1,1,45.081640509,-84.774348466,,
196,,1,1,45.081640552,-84.774343953,,
197,,1,1,45.081640595,-84.77433944,,
198,,1,1,45.081640637,-84.774334928,,
199,,1,1,45.08164068,-84.774330415,,
200,,1,1,45.081640723,-84.774325902,,
201,,1,1,45.081622627,-84.774547024,,
202,,1,1,45.08162261,-84.774542621,,
203,,1,1,45.081622593,-84.774538217,,
204,,1,1,45.081622575,-84.774533814,,
205,,1,1,45.081622558,-84.774529411,,
206,,1,1,45.081622541,-84.774525008,,
207,,1,1,45.081622524,-84.774520605,,
208,,1,1,45.081622507,-84.774516201,,
209,,1,1,45.08162249,-84.774511798,,
210,,1,1,45.081622472,-84.774507395,,
211,,1,1,45.081622455,-84.774502992,,
212,,1,1,45.081622438,-84.774498589,,
213,,1,1,45.081622421,-84.774494185,,
214,,1,1,45.081622404,-84.774489782,,
215,,1,1,45.081622387,-84.774485379,,
216,,1,1,45.081622369,-84.774480976,,
217,,1,1,45.081622352,-84.774476572,,
218,,1,1,45.081622335,-84.774472169,,
219,,1,1,45.081622318,-84.774467766,,
220,,1,1,45.081622301,-84.774463363,,
221,,1,1,45.081622283,-84.77445896,,
222,,1,1,45.081622266,-84.774454556,,
223,,1,1,45.081622249,-84.774450153,,
224,,1,1,45.081622232,-84.77444575,,
225,,1,1,45.081622215,-84.774441347,,
226,,1,1,45.081622198,-84.774436944,,
227,,1,1,45.08162218,-84.77443254,,
228,,1,1,45.081622163,-84.774428137,,
229,,1,1,45.081622146,-84.774423734,,
230,,1,1,45.081622129,-84.774419331,,
231,,1,1,45.081622112,-84.774414927,,
232,,1,1,45.081622095,-84.774410524,,
233,,1,1,45.081622077,-84.774406121,,
234,,1,1,45.08162206,-84.774401718,,
235,,1,1,45.081622043,-84.774397315,,
236,,1,1,45.081622026,-84.774392911,,
237,,1,1,45.081622009,-84.774388508,,
238,,1,1,45.081621991,-84.774384105,,
239,,1,1,45.081621974,-84.774379702,,
240,,1,1,45.081621957,-84.774375298,,
241,,1,1,45.08162194,-84.774370895,,
242,,1,1,45.081621923,-84.774366492,,
243,,1,1,45.081621906,-84.774362089,,
244,,1,1,45.081621888,-84.774357686,,
245,,1,1,45.081621871,-84.774353282,,
246,,1,1,45.081621854,-84.774348879,,
247,,1,1,45.081621837,-84.774344476,,
248,,1,1,45.08162182,-84.774340073,,
249,,1,1,45.081621802,-84.77433567,,
250,,1,1,45.081621785,-84.774331266,,
251,,1,1,45.081606214,-84.77454762,,
252,,1,1,45.081606231,-84.774543241,,
253,,1,1,45.081606248,-84.774538862,,
254,,1,1,45.081606266,-84.774534483,,
255,,1,1,45.081606283,-84.774530104,,
256,,1,1,45.0816063,-84.774525725,,
257,,1,1,45.081606317,-84.774521347,,
258,,1,1,45.081606334,-84.774516968,,
259,,1,1,45.081606351,-84.774512589,,
260,,1,1,45.081606369,-84.77450821,,
